Taxon,Clade,TrophicLevel,BodyMass,R,BETA,M,IsCst,DDModel,DDData
Apodemus_flavicollis,Rodent,Prey,31,12.02424,0.00227,NA,0,NA,NA
Apodemus_sylvaticus,Rodent,Prey,20,13.41654,6.70827,NA,0,NA,NA
Arvicola_terrestris,Rodent,Prey,130,8.40257,0.64635,NA,0,NA,NA
Astacus_sp.,Crustacean,Prey,32,3.50652,1.10754,NA,0,NA,NA
Bison_bonasus,Ungulate,Prey,400000,0.17,8e-05,NA,0,NA,NA
Blicca_bjoerkna,Fish,Prey,145,1.95668,0.06742,NA,0,NA,NA
Bonasa_bonasia,Galliforme,Prey,420,1.94774,0.02884,NA,0,NA,NA
Bufo_sp.,Amphibian,Prey,77,3.67512,0.00537,NA,0,NA,NA
Capreolus_capreolus,Ungulate,Prey,20000,0.66,0.00052,NA,0,NA,NA
Carassius_carassius,Fish,Prey,82,2.25636,0.04669,NA,0,NA,NA
Carcass,Other,Prey,NA,NA,NA,NA,1,NA,NA
Carduelis_cannabina,Passerine,Prey,18,4.2808,4.32404,NA,0,NA,NA
Carduelis_carduelis,Passerine,Prey,14,4.55838,10.50318,NA,0,NA,NA
Carduelis_chloris,Passerine,Prey,28,3.83313,3.11131,NA,0,NA,NA
Carduelis_spinus,Passerine,Prey,14,4.55838,3.57801,NA,0,NA,NA
Castor_fiber,Rodent,Prey,19000,2.41663,0.00037,NA,0,NA,NA
Certhia_familiaris,Passerine,Prey,9,5.09075,1.29734,NA,0,NA,NA
Cervus_elaphus,Ungulate,Prey,100000,0.43,7e-05,NA,0,NA,NA
Clethrionomys_glareolus,Rodent,Prey,17,13.97288,0.00424,NA,0,NA,NA
Coccothraustes_coccothraustes,Passerine,Prey,55,3.23782,0.0951,NA,0,NA,NA
Columba_livia,Columbiforme,Prey,354,2.03279,0.05742,NA,0,NA,NA
Columba_palumbus,Columbiforme,Prey,500,1.86466,0.02194,NA,0,NA,NA
Corvus_corone,Passerine,Prey,570,1.80457,0.87942,NA,0,NA,NA
Corvus_frugilegus,Passerine,Prey,452,1.91231,1.17522,NA,0,NA,NA
Cuculus_canorus,Cuculiforme,Prey,100,2.78832,1.43728,NA,0,NA,NA
Cygnus_sp.,Anseriforme,Prey,12000,0.84246,0.03849,NA,0,NA,NA
Dendrocopos_leucotos,Piciforme,Prey,100,2.78832,0.69708,NA,0,NA,NA
Dendrocopos_major,Piciforme,Prey,80,2.94829,0.17384,NA,0,NA,NA
Dendrocopos_medius,Piciforme,Prey,60,3.16814,0.36668,NA,0,NA,NA
Dendrocopos_minor,Piciforme,Prey,21,4.11896,3.38174,NA,0,NA,NA
Dryocopus_martius,Piciforme,Prey,310,2.10137,0.18321,NA,0,NA,NA
Dryomys_nitedula,Rodent,Prey,34,11.74974,3.45581,NA,0,NA,NA
Emberiza_citrinella,Passerine,Prey,30,3.76758,0.46171,NA,0,NA,NA
Emberiza_schoeniclus,Passerine,Prey,20,4.16951,6.92702,NA,0,NA,NA
Erinaceus_concolor,Shrew/Mole,Prey,735,1.79457,0.00035,NA,0,NA,NA
Erithacus_rubecula,Passerine,Prey,17,4.34241,0.16995,NA,0,NA,NA
Esox_lucius,Fish,Prey,365,1.55342,0.0017,NA,0,NA,NA
Ficedula_albicollis,Passerine,Prey,13,4.64362,0.33383,NA,0,NA,NA
Ficedula_hypoleuca,Passerine,Prey,12,4.73748,1.93525,NA,0,NA,NA
Fringilla_coelebs,Passerine,Prey,25,3.94328,0.04601,NA,0,NA,NA
Garrulus_glandarius,Passerine,Prey,175,2.42428,0.09687,NA,0,NA,NA
Gasterosteus_aculeatus,Fish,Prey,3,5.15919,2.91816,NA,0,NA,NA
Glis_glis,Rodent,Prey,128,8.4352,0.659,NA,0,NA,NA
Gobio_gobio,Fish,Prey,12,3.6481,0.88196,NA,0,NA,NA
Gymnocephalus_cernuus,Fish,Prey,14,3.51018,0.61452,NA,0,NA,NA
Hippolais_icterina,Passerine,Prey,14,4.55838,4.85968,NA,0,NA,NA
Hirundo_rustica,Passerine,Prey,18,4.2808,0.99507,NA,0,NA,NA
Hymenoptera,Other,Prey,NA,NA,NA,NA,1,NA,NA
Jynx_torquilla,Piciforme,Prey,37,3.57513,12.38784,NA,0,NA,NA
Lacerta_sp.,Reptile,Prey,8,4.17166,0.01668,NA,0,NA,NA
Lanius_collurio,Passerine,Prey,30,3.76758,0.67015,NA,0,NA,NA
Larus_ridibundus,Charadriiforme,Prey,284,2.1479,4.97568,NA,0,NA,NA
Lepus_europaeus,Lagomorpha,Prey,3740,2.11021,0.0444,NA,0,NA,NA
Leuciscus_idus,Fish,Prey,755,1.29531,0.00271,NA,0,NA,NA
Lota_lota,Fish,Prey,347,1.57318,0.01963,NA,0,NA,NA
Lumbricidae_sp.,Other,Prey,NA,NA,NA,NA,1,NA,NA
Micromys_minutus,Rodent,Prey,8,16.87041,1.78712,NA,0,NA,NA
Microtus_agrestis,Rodent,Prey,23,12.95586,0.13348,NA,0,NA,NA
Microtus_arvalis,Rodent,Prey,19,13.58969,0.66227,NA,0,NA,NA
Microtus_oeconomus,Rodent,Prey,26,12.56478,0.27303,NA,0,NA,NA
Misgurnus_fossilis,Fish,Prey,46,2.60719,0.24535,NA,0,NA,NA
Motacilla_alba,Passerine,Prey,24,3.98373,1.10072,NA,0,NA,NA
Motacilla_flava,Passerine,Prey,18,4.2808,130.38499,NA,0,NA,NA
Mus_musculus,Rodent,Prey,16,14.18627,8.86642,NA,0,NA,NA
Natrix_natrix,Reptile,Prey,85,2.31061,0.0014,NA,0,NA,NA
Neomys_anomalus,Shrew/Mole,Prey,9,5.39476,0.57087,NA,0,NA,NA
Neomys_fodiens,Shrew/Mole,Prey,14,4.8306,0.12323,NA,0,NA,NA
Nucifraga_caryocatactes,Passerine,Prey,200,2.34469,0.63714,NA,0,NA,NA
Oriolus_oriolus,Passerine,Prey,73,3.01656,0.37566,NA,0,NA,NA
Parus_caeruleus,Passerine,Prey,11,4.84166,0.60627,NA,0,NA,NA
Parus_major,Passerine,Prey,18,4.2808,0.41505,NA,0,NA,NA
Pelobates_fuscus,Amphibian,Prey,21,5.08556,1.00904,NA,0,NA,NA
Perca_fluviatilis,Fish,Prey,24,3.06767,0.04338,NA,0,NA,NA
Perdix_perdix,Galliforme,Prey,405,1.96553,3.19287,NA,0,NA,NA
Phoenicurus_phoenicurus,Passerine,Prey,16,4.40872,1.25248,NA,0,NA,NA
Phylloscopus_collybita,Passerine,Prey,9,5.09075,1.29141,NA,0,NA,NA
Phylloscopus_sibilatrix,Passerine,Prey,10,4.95841,0.3823,NA,0,NA,NA
Picoides_tridactylus,Piciforme,Prey,65,3.10538,1.29122,NA,0,NA,NA
Picus_viridis,Piciforme,Prey,200,2.34469,2.26847,NA,0,NA,NA
Pitymys_subterraneus,Rodent,Prey,17,13.97288,0.11964,NA,0,NA,NA
Prunella_modularis,Passerine,Prey,21,4.11896,0.44276,NA,0,NA,NA
Pyrrhula_pyrrhula,Passerine,Prey,25,3.94328,1.813,NA,0,NA,NA
Rana_arvalis,Amphibian,Prey,11,5.97786,0.03594,NA,0,NA,NA
Rana_esculenta,Amphibian,Prey,37,4.41411,0.00578,NA,0,NA,NA
Rana_temporaria,Amphibian,Prey,42,4.27643,0.00052,NA,0,NA,NA
Rattus_norvegicus,Rodent,Prey,310,6.76173,0.21812,NA,0,NA,NA
Regulus_regulus,Passerine,Prey,5,5.89658,1.9754,NA,0,NA,NA
Riparia_riparia,Passerine,Prey,13,4.64362,235.00101,NA,0,NA,NA
Rutilus_rutilus,Fish,Prey,25,3.03652,0.07533,NA,0,NA,NA
Saxicola_rubetra,Passerine,Prey,18,4.2808,1.41057,NA,0,NA,NA
Scardinius_erythrophthalmus,Fish,Prey,331,1.59186,0.10813,NA,0,NA,NA
Sciurus_vulgaris,Rodent,Prey,333,6.64182,0.00879,NA,0,NA,NA
Scolopax_rusticola,Charadriiforme,Prey,275,2.16526,0.32807,NA,0,NA,NA
Serinus_serinus,Passerine,Prey,13,4.64362,167.85787,NA,0,NA,NA
Sicista_betulina,Rodent,Prey,8,16.87041,0.47819,NA,0,NA,NA
Sitta_europaea,Passerine,Prey,24,3.98373,0.3029,NA,0,NA,NA
Sorex_araneus,Shrew/Mole,Prey,8,5.55598,0.02756,NA,0,NA,NA
Sorex_caecutiens,Shrew/Mole,Prey,5,6.24871,3.57069,NA,0,NA,NA
Sorex_minutus,Shrew/Mole,Prey,3,7.09991,0.42261,NA,0,NA,NA
Sturnus_vulgaris,Passerine,Prey,80,2.94829,0.09011,NA,0,NA,NA
Sus_scrofa,Ungulate,Prey,80000,0.93,0.00022,NA,0,NA,NA
Sylvia_atricapilla,Passerine,Prey,18,4.2808,0.42242,NA,0,NA,NA
Sylvia_communis,Passerine,Prey,14,4.55838,1.32035,NA,0,NA,NA
Sylvia_sp.,Passerine,Prey,17,4.34241,0.48909,NA,0,NA,NA
Talpa_europaea,Shrew/Mole,Prey,95,1.79176,0.00269,NA,0,NA,NA
Tinca_tinca,Fish,Prey,1142,1.16801,0.023,NA,0,NA,NA
Tringa_ochropus,Charadriiforme,Prey,90,2.86274,0.68387,NA,0,NA,NA
Troglodytes_troglodytes,Passerine,Prey,8,5.24288,1.41241,NA,0,NA,NA
Turdus_iliacus,Passerine,Prey,70,3.04837,2.79155,NA,0,NA,NA
Turdus_merula,Passerine,Prey,100,2.78832,0.06252,NA,0,NA,NA
Turdus_philomelos,Passerine,Prey,70,3.04837,0.05215,NA,0,NA,NA
Undet._amphibians,Amphibian,Prey,38,4.38478,0.00263,NA,0,NA,NA
Undet._bats,Bat,Prey,14,0.54232,0.38737,NA,0,NA,NA
Undet._birds,Bird,Prey,280,2.15553,0.01834,NA,0,NA,NA
Upupa_epops,Bucerotiforme,Prey,60,3.16814,19.2991,NA,0,NA,NA
Vanellus_vanellus,Charadriiforme,Prey,200,2.34469,3.8564,NA,0,NA,NA
